epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,941.175,0.90288,1.70696,1.03175,0.02749,0.58571,0.20316,0.07936,1.42407,4.33133,1.16908,0.0001053,0.0001053,0.0001053
42,963.39,0.96375,1.73672,1.018,0.02796,0.68571,0.21559,0.08326,1.44623,4.30208,1.16747,9.76288e-05,9.76288e-05,9.76288e-05
43,984.406,0.89799,1.63501,1.02355,0.02796,0.68571,0.21559,0.08326,1.44623,4.30208,1.16747,8.94625e-05,8.94625e-05,8.94625e-05
44,1005.85,0.81495,1.62602,1.00875,0.0267,0.58571,0.22273,0.09199,1.4633,4.28301,1.17092,8.08013e-05,8.08013e-05,8.08013e-05
45,1027.31,0.7773,1.47678,0.99695,0.0267,0.58571,0.22273,0.09199,1.4633,4.28301,1.17092,7.1645e-05,7.1645e-05,7.1645e-05
46,1048.33,1.00915,1.69841,1.06249,0.02884,0.6,0.24542,0.11171,1.47617,4.26391,1.1769,6.19937e-05,6.19937e-05,6.19937e-05
47,1069.49,0.87598,1.65704,1.04249,0.02884,0.6,0.24542,0.11171,1.47617,4.26391,1.1769,5.18475e-05,5.18475e-05,5.18475e-05
48,1090.26,0.92473,1.70965,1.03652,0.03018,0.6,0.25312,0.11686,1.48967,4.24748,1.18304,4.12063e-05,4.12063e-05,4.12063e-05
49,1111.25,0.78381,1.51209,0.98855,0.03018,0.6,0.25312,0.11686,1.48967,4.24748,1.18304,3.007e-05,3.007e-05,3.007e-05
50,1132.64,0.9467,1.79537,1.05794,0.0339,0.61429,0.24875,0.11324,1.50203,4.23482,1.19412,1.84388e-05,1.84388e-05,1.84388e-05
